Эпоха/стиль;Номер;Название;Дата создания;Местонахождение;Создатель
;177;Дом Тальберга;1897 год;Хельсинки, Финляндия;Герман Газеллиус, Армас Линдрген и Элиэль Сааринен
;178;Торговый центр La Samaritaine ;1926 год;Париж, Франция ;Фредерик Анри Соваж
;179;Народный дом в Простеёве;1905 год;Простеёв, Чехия;Ян Котера
;180;Особняк Тассель;1893 год;Брюссель, Бельгия;Виктор Орта
;181;Искупительный храм Святого Семейства;1883 год;Барселона, Испания;Антонио Гауди
;182;Универмаг в городе Вроцлав;1912 год;Вроцлав, Польша;Ганс Пельциг
;315;Дом с глашатаями;1898 год;Вена, Австрия;Отто Коломан Вагнер
;316;Церковь Ам-Штайнхоф;1903 год;Вена, Австрия;Отто Коломан Вагнер
;317;Майоликовый дом;1898 год;Вена, Австрия;Отто Коломан Вагнер
;318;Вилла "Отто Вагнер II";1912 год;Вена, Австрия;Отто Коломан Вагнер
;319;Вилла "Отто Вагнер I";1886 год;Вена, Австрия;Отто Коломан Вагнер
;320;Храм "Дазан Гунзэчойнэй";1909 год;Санкт-Петербург, Россия;Гавриил Васильевич Барановский
;321;Елисеевский магазин;1902 год ;Санкт-Петербург, Россия;Гавриил Васильевич Барановский
;322;Жилой дом;1899 год;Санкт-Петербург, Россия;Гавриил Васильевич Барановский
;323;Здание Русского географического общества;1907 год;Санкт-Петербург, Россия;Гавриил Васильевич Барановский
;324;Храм Преображения Господня;1908 год;Красноярск, Россия;Владимир Александрович Соколовский
;325;Дом Цукермана;1910 год;Красноярск, Россия;Владимир Александрович Соколовский
;326;Особняк В.Н.Гадаловой;1913 год;Красноярск, Россия;Владимир Александрович Соколовский
;327;Здание общественного собрания;1913 год;Красноярск, Россия;Владимир Александрович Соколовский
;328;Торговый дом Либмана;1909 год ;Красноярск, Россия;Владимир Александрович Соколовский
;329;Моцартеум в Праге;1911 год;Прага, Чехия;Ян Котера
;330;Здание юридического факультета Карлова университета;1926 год;Прага, Чехия;Ян Котера
;331;Вилла Котера в Праге-Виноградах;1908 год;Прага, Чехия;Ян Котера
;332;Вилла Гетца;1907 год;деревня Хрустенице, Чехия;Ян Котера
;333;Музей Восточной Богемии ;1909 год;Градец-Кралове, Чехия;Ян Котера
;334;Костёл Святого Иосифа;1891 год;Николаев, Украина;Владислав Александрович Домбровский
;335;Здание главного почтамта;1893 год;Одесса, Украина;Владислав Александрович Домбровский
;336;Собор святого Климента;1899 год;Одесса, Украина;Владислав Александрович Домбровский
;337;Новая Биржа;1894 год;Одесса, Украина;А.И. Бернардацци,  В.И.Прохаска,  В.А.Домбровский
;405;Дворец Гуэль;1885 год;Барселона, Испания;Антонио Гауди
;406;Дом Висенс;1883 год;Барселона, Испания;Антонио Гауди
;407;Торговый дом Морозова;1898 год;Москва, Россия;Фёдор Осипович Шехтель
;408;Доходный дом Строгановского училища;1904 год;Москва, Россия;Фёдор Осипович Шехтель
;409;МХТ имени А.П.Чехова;1902 год ;Москва, Россия;Фёдор Осипович Шехтель
;410;Вход в метро;1900 год ;Париж, Франция ;Эктор Гимар
;411;Дом компании "Зингер";1902 год ;Санкт-Петербург, Россия;Павел Юльевич Сюзор
;535;Дом Ботинес;1891 год;Леон, Испания;Антонио Гауди
;536;Епископский дворец;1887 год;Асторга, Испания;Антонио Гауди и Риккардо Гарсия Герета
;537;Винные погреба Гуэля;1895 год;Сиджес, Испания;Антонио Гауди
;538;Особняк Ван Этвельде ;1895 год;Брюссель, Бельгия;Виктор Орта
;539;Музей Орта;1898 год;Брюссель, Бельгия;Виктор Орта
;540;Здание Бельгийского музея комиксов;1896 год;Брюссель, Бельгия;Виктор Орта
;541;Дом сецессиона;1897 год;Вена, Австрия;Йозеф Мария Ольбрих
;542;Свадебная башня ;1908 год ;Дармштадт, Германия;Йозеф Мария Ольбрих
;543;Дом Ольбриха;1901 год;Дармштадт, Германия;Йозеф Мария Ольбрих
;544;Дом Эрнста Людвига;1901 год;Дармштадт, Германия;Йозеф Мария Ольбрих
;545;Дом Вильгельма Дитера;1901 год;Дармштадт, Германия;Йозеф Мария Ольбрих
;546;Павильон станции метро Карлсплац;1894 год;Вена, Австрия;Отто Коломан Вагнер
;547;Вилла Райнер;1900-е годы;Баден, Австрия;Отто Коломан Вагнер
;548;Особняк Гимара;1909 год;Париж, Франция ;Эктор Гимар
;549;Кастель Беранже;1895 год;Париж, Франция ;Эктор Гимар
;550;Отель Поля Меззара;1910 год;Париж, Франция ;Эктор Гимар
;551;Синагога на улице Пави;1913 год;Париж, Франция ;Эктор Гимар
;552;Мэзон Койлио;1898 год;Лилль, Франция;Эктор Гимар
;609;Театр Колизеум;1904 год;Лондон, Великобритания;Фрэнк Мэтчем
Модернизм и его ответвления: конструктивизм, функционализм и другие;;;;;
;64;Дом Культуры ЗИЛ;1937 год;Москва, Россия;А.А. и В.А. Веснины
;65;Дом Культуры имени И.В.Русакова;1927 год;Москва, Россия;Константин Степанович Мельников
;66;Дом правительства ;1930 год;Минск, Беларусь;Иосиф Григорьевич Лангбард
;67;Харьковский Госпром;1925 год;Харьков, Украина;С. С. Серафимов и С. М. Кравец
;68;Гаранти-билдинг;1896 год;Буффало, США;Данкмар Адлер, Луис Генри Салливан
;69;Здание ЮНЕСКО;1958 год;Париж, Франция ;П. Зерфюсс,  М. Брейер, П.Нерви
;70;Gropious-House;1938 год;Линкольн, США;Вальтер Гропиус
;71;Административное здание Баухаус;1925 год;Дессау, Германия;Вальтер Гропиус
;72;Здание Центросоюза;1928 год;Москва, Россия;Ле Корбюзье
;109;Дом Культуры имени С.М.Зуева;1927 год;Москва, Россия;Илья Александрович Голосов
;110;Дом Мельникова;1927 год;Москва, Россия;Константин Степанович Мельников
;111;Здание газеты "Известия";1925 год;Москва, Россия;Григорий Борисович Бархин
;112;Кировский райсовет (Дом советов Московско-Нарвского района);1930 год;Санкт-Петербург, Россия;Ной Абрамович Троцкий
;113;Дом-коммуна на улице Орджоникидзе;1929 год;Москва, Россия ;Иван Сергеевич Николаев
;138;Bellavista;1934 год;Копенгаген, Дания;Арне Якобсен
;139;Башня олимпийского стадиона;1934 год;Хельсинки, Финляндия;Юрьё Линдегрен и Тойво Янтти
;140;Вилла Савой;1929 год;Париж, Франция ;Ле Корбюзье
;141;Башня Эйнштейна;1924 год;Потсдам, Германия;Эрих Мендельсон
;183;Гараж "Интуриста";1932 год;Москва, Россия;Константин Степанович Мельников и Валерий Иванович Курочкин
;184;Здание универмага на Красной Пресне;1927 год;Москва, Россия;Александр, Виктор и Леонид Веснины
;313;Центральный академический театр Российской армии;1934 год;Москва, Россия;Каро Алабян, Василий Симбирцев, Борис Бархин
;314;Чилехаус;1922 год;Гамбург, Германия;Йохан Фридрих Хёгер
;412;Башня Пирелли;1956 год;Милан, Италия;Джио Понти и Пьер Луиджи Нерви
;413;Зал аудиенций Павла VI;1964 год;Ватикан;Пьер Луиджи Нерви
;414;Собор Девы Марии ;1967 год;Сан-Франциско, США;Пьер Луиджи Нерви и Пьетро Беллуши
;415;Палаццо делла Мода э Торино Эспозициони;1938 год;Турин, Италия;Этторе Соттсасс и Пьер Луиджи Нерви
;416;Национальный дом парламента Бангладеш;1961 год;Дакка, Бангладеш;Луис Кан
;417;Библиотека академии Филлипса;1965 год;Эксетер, США;Луис Кан
;418;Индийский институт управления;1962 год;Ахмадабад, Индия;Луис Кан
;419;Дворец съездов (Рим);1938 год;Рим, Италия;Адальберто Либера
;420;Реконструкция синагоги "Хурва";1967 год;Иерусалим, Израиль;Луис Кан
;421;Здание администрации префектуры Кагава;1955 год;Такэмацу, Япония;Кэндзо Тангэ
;422;Мемориальный музей мира;1955 год;Хиросима, Япония;Кэндзо Тангэ
;423;Отель Grand Prince Akasaka;1955 год;Токио, Япония;Кэндзо Тангэ
;424;Дворец Ассамблеи;1951 год;Чандигарх, Индия;Ле Корбюзье
;425;Здание Секритариата;1953 год;Чандигарх, Индия;Ле Корбюзье
;426;Жилая единица;1945 год;Марсель, Франция;Ле Корбюзье
;427;Монастырь Сент-Мари-де-ла-Туретт;1956 год;близ Лиона, Франция;Ле Корбюзье
;428;Нотр-Дам-дю-О;1950 год;Роншан, Франция;Ле Корбюзье
;429;НМИЦ онкологии имени Н.Н. Блохина;конец 1950-х - начало 1960-х;Москва, Россия;Игорь Михайлович Виноградский
;430;Павильон №29 "Цветоводство и озеленение";1969 год;Москва, Россия;Игорь Михайлович Виноградский
;431;Главный пресс-центр "Олимпиады-80";1978 год;Москва, Россия ;Игорь Михайлович Виноградский, Сергей Павлович Хаджибаронов и другие
;432;Кафе "Времена года" (сейчас - Музей современного искусства "Гараж");1968 год;Москва, Россия;Игорь Михайлович Виноградский и Игорь Пяткин, отреставрировано Ремом Колхасом
;433;Главное здание Российской государственной библиотеки;1928 год;Москва, Россия;Владимир Георгиевич Гельфрейх и Владимир Алексеевич Щуко
;434;Дом правительства Абхазской АССР;1932 год;Сухуми, Абхазия;Владимир Алексеевич Щуко
;435;Первая подстанция Московского метрополитена;1934 год;Москва, Россия;Даниил Фёдорович Фридман
;436;Дом Союзпушнины;1937 год;Санкт-Петербург, Россия;Даниил Фёдорович Фридман
;437;"Дом-корабль";1929 год;Иваново, Россия;Даниил Фёдорович Фридман
;438;ЦУМ (Киев);1936 год;Киев, Украина;Даниил Фёдорович Фридман и Леонид Яковлевия Мецоян
;439;Музыкально-драматический театр имени В.Г. Магара;1929 год;Запорожье, Россия;Даниил Фёдорович Фридман
;440;Клиническая инфекционная больница имени С.П. Боткина;1927 год;Санкт-Петербург, Россия;Игорь Иванович Фомин и Лев Владимирович Руднев
;441;Профилакторий Кировского района;1928 год;Санкт-Петербург, Россия;Игорь Иванович Фомин, Лев Владимирович Руднев, Олег Леонидович Лялин, Якоб Осипович Свирский
;442;Кмитовский музей изобразительного искусства имени И.Д.Буханчука;1985 год;село Кмитов, Украина;Игорь Иванович Фомин
;443;Иваново-Вознесенский политехнический институт ;1928 год;Иваново, Россия;Игорь Иванович Фомин
;444;Вилла Малле-Стивенс;1926 год;Париж, Франция ;Робер Малле-Стивенс
;445;Вилла Кавруа;1929 год;Круа, Франция;Робер Малле-Стивенс
;446;Вилла Ноай;1923 год;Йер, Франция;Робер Малле-Стивенс
;447;Вилла Поля Пуаре;1924 год ;Мези-сюр-Сен, Франция;Робер Малле-Стивенс
;448;Дом коллектива;1929 год;Иваново, Россия;Илья Александрович Голосов
;449;Дом советов (Элиста);1928 год;Элиста, Россия;Илья Александрович Голосов и Борис Яковлевич Мительман
;450;Жилой дом Наркоматов иностранных дел и внешней торговли;1929 год;Москва, Россия;Илья Александрович Голосов, Исидор Леонтьевич Маркузе и другие
;451;Дом Наркомфина;1928 год;Москва, Россия;Моисей Яковлевич Гинзбург
;452;Дом правительства;1927 год;Алма-Ата, Казахстан;Моисей Яковлевич Гинзбург
;453;Дом на набережной;1927 год;Москва, Россия;Борис Михайлович Иофан
;454;Павильон СССР на Всемирной выставке в Париже 1937 года;1936 год;Москва, Россия;Борис Михайлович Иофан
;455;Дом советов (Хабаровск) ;1929 год;Хабаровск, Россия;Борис Яковлевич Улинич и Илья Александрович Голосов
;456;Жилой дом работников Завода имени Сталина;1935 год;Москва, Россия;Борис Яковлевич Улинич 
;553;Вилла Ла Рош/Жаннере;1923 год;Париж, Франция ;Ле Корбюзье и Пьер Жаннере
;554;Жилой комлекс в Берлине;1957 год;Берлин, Германия;Ле Корбюзье
;555;Национальный музей западного искусства;1957 год;Токио, Япония;Ле Корбюзье
;556;Дом Риля;1906 год;Потсдам, Германия;Людвиг Мис ван дер Роэ
;557;Вилла Тугендхат;1928 год;Брно, Чехия;Людвиг Мис ван дер Роэ
;558;Дом Фарнсуорт (Стеклянный дом);1945 год;штат Иллинойс, США;Людвиг Мис ван дер Роэ
;559;Новая национальная галерея;1962 год;Берлин, Германия;Людвиг Мис ван дер Роэ
;560;Мемориальная библиотека Мартина Лютера Кинга;1968 год;Вашингтон, США;Людвиг Мис ван дер Роэ
;561;Дом Ловелла;1927 год;Лос-Анджелес, США;Рихард Йозеф Нёйтра
;562;Шифф-хаус;1930-е годы;Сан-Франциско, США;Рихард Йозеф Нёйтра
;563;Столлер-хаус;1955 год;Лос-Анджелес, США;Рихард Йозеф Нёйтра
;564;Здание обувной фабрики "Фагус";1910 год;Альфельд, Германия;Вальтер Гропиус
;565;Аспирантский кампус в Гарварде;1949 год;Кембридж, США;Вальтер Гропиус
;566;Жилой дом для выставки "Интербау";1953 год;Берлин, Германия;Вальтер Гропиус
;567;Храм Единства;1904 год;Чикаго, США;Фрэнк Ллойд Райт
;568;резиденция Талиесин;1911 год;штат Висконсин, США;Фрэнк Ллойд Райт
;569;Дом Роби;1909 год;Чикаго, США;Фрэнк Ллойд Райт
;570;Дом над водопадом;1936 год;штат Пенсильвания, США;Фрэнк Ллойд Райт
;616;Дом Уралоблсовнархоза;1930 год;Екатеринбург, Россия;Моисей Яковлевич Гинзбург
Постмодернизм и его ответвления: хай-тек, деконструктивизм и другие;;;;;
;73;Здание рынка страхования Ллойд;1986 год;Лондон, Великобритания;Ричард Роджерс
;74;Херст-тауэр;2003 год;Нью-Йорк, США;Норман Фостер
;75;Центр Джона Хэнкока;1965 год;Чикаго, США;Фазлур Рахман Хан, Брюс Грэм
;76;Центр Жоржа Помпиду;1977 год;Париж, Франция ;Ренцо Пиано и Ричард Роджерс
;77;Музей Соломона Гуггенхайма;1997 год;Бильбао, Испания;Фрэнк Гери
;78;Отель Porta Fira;2009 год;Барселона, Испания;Тоёо Ито
;79;Северный имперский военный музей ;2001 год;Манчестер, Великобритания;Даниэль Либескинд
;80;Танцующий дом;1996 год;Прага, Чехия;Владо Милунич и Фрэнк Гери
;142;Башня Банка Китая;1989 год;Гонконг;Бей Юймин
;143;Уиллис-Тауэр;1970 год;Чикаго, США;Фазлур Рахман Хан, Брюс Грэм
;144;Всемирный Торговый центр;2002 год;Нью-Йорк, США;Дэвид Чайлдс,  Норман Фостер и др.
;145;Штаб-квартира Fuji TV;1997 год;Токио, Япония;Кэндзо Тангэ
;185;Башня Мэри-Экс;2001 год;Лондон, Великобритания;Норман Фостер
;186;Берлинский международный конгресс-центр;1975 год;Берлин, Германия;Ральф Шюлер и Урсулина Шюлер-Витте
;187;Здание Европейского суда по правам человека;1991 год;Страсбург, Франция;Ричард Роджерс
;188;Сиднейская башня;1975 год;Сидней, Австралия;Дональд Крон
;189;Shiseido building;2001 год;Токио, Япония;Рикардо Бофилл
;190;Каталонский национальный театр;1996 год;Барселона, Испания;Рикардо Бофилл
;191;Аэропорт Коста-дель-соль;1991 год;Малага, Испания;Рикардо Бофилл
;192;Аэропорт Барслеона  -  Эль-Прат;2009 год;Барселона, Испания;Рикардо Бофилл
;193;Dearborn center;2003 год;Чикаго, США;Рикардо Бофилл
;194;Художественный музей Вейсмана;1993 год;Миннеаполис, США;Фрэнк Гери
;195;Концертный зал имени Уолта Диснея ;1999 год;Лос-Анджелес, США;Фрэнк Гери
;196;Музей музыки;2000 год;Сиэтл, США;Фрэнк Гери
;197;Хрустальный собор;1977 год;Гарден-Гров, США;Филип Джонсон
;198;Сони-билдинг;1980 год;Нью-Йорк, США;Филип Джонсон и Джон Берджи
;199;Часовня святого Василия;1997 год;Хьюстон, США;Филип Джонсон
;200;Здание PPG;1981 год;Питтсбург, США;Филип Джонсон и Джон Берджи
;201;Липстик-билдинг;1983 год ;Нью-Йорк, США;Филип Джонсон и Джон Берджи
;202;Часовня Епископальной Академии;2008 год;Ньютаун-сквер, США;Роберт Вентури
;203;Штаб-квартира Института изящных искусств Нью-Йоркского университета;1958 год;Нью-Йорк, США;Роберт Вентури
;204;Гилд-Хаус;1960 год;Филадельфия, США;Роберт Вентури
;205;Пожарная станция №4;1968 год;Коламбус, США;Роберт Вентури
;206;Брант-хаус;1972 год;Гринвич, США;Роберт Вентури
;207;Кон Холл в Институте теоретической физики Кавли;2004 год;Санта-Барбара, США;Майкл Грейвс
;208;425 Пятая авеню;2000 год;Нью-Йорк, США;Майкл Грейвс
;209;Здание Международной финансовой корпорации ;1992 год;Вашингтон, США;Майкл Грейвс
;210;Отель Steigenberger;1997 год;Эль-Гуна;Майкл Грейвс и Ахмед Хамди
;211;Пристройка Публичной библиотеки Денвера;1995 год;Денвер, США;Майкл Грейвс
;229;Дом II;1969 год;Хардвик, США;Питер Айзенман
;230;Макс Рейнард-хаус;1992 год;Берлин, Германия;Питер Айзенман
;231;Здание международного выставочного центра;1981 год;Берлин, Германия;Питер Айзенман
;232;Дом IV ;1971 год;Фолз-Виллидж, США;Питер Айзенман
;233;Автобусная остановка на Фридрих-Вильгельм-плац;1996 год;Ахен, Германия;Питер Айзенман
;234;Отель W;2009 год;Барселона, Испания;Рикардо Бофилл
;235;West Wacker Drive ;1992 год;Чикаго, США;Рикардо Бофилл
;236;Мадридский конгресс-центр;1993 год;Мадрид, Испания;Рикардо Бофилл
;237;Касабланка Твин Центр;1999 год;Касабланка, Марокко;Рикардо Бофилл
;238;Музей современного искусства Сан-Диего;1996 год;Сан-Диего, США;Роберт Вентури
;239;Мемориальная библиотека Бейкера;1968 год;Хановер, США;Роберт Вентури
;240;Франклин-корт;1976 год;Филадельфия, США;Роберт Вентури
;241;Портленд-билдинг;1982 год;Портленд, США;Майкл Грейвс
;242;Национальный музей первобытных культур  Тайваня;2001 год;Тайдун, Тайвань;Майкл Грейвс
;243;Зал чемпионов NCAA ;1997 год;Индианаполис, США;Майкл Грейвс
;244;Хьюмана-билдинг;1982 год;Луисвилл, США;Майкл Грейвс
;245;Архитектурный колледж Хайнса;1985 год;Хьюстон, США;Филип Джонсон
;246;TC Energy Center;1980 год ;Хьюстон, США;Филип Джонсон и Джон Берджи
;308;Здание национального совета по развитию рыболовства;2012 год;Хайдарабад, Индия;не известен
;309;Piano-house;2007 год;Хуайнань, Китай;Студенты Хефейского технологического университета
;310;Marina Bay Sands;2006 год;Сингапур;Моше Сафди
;311;Кафедральный собор;1958 год;Бразилиа, Бразилия;Оскар Нимейер
;312;Дом "Зодчество";2010 год;Москва, Россия;Телемак Ананян
;617;Пасео де Грасия;1991 год;Барселона, Испания;Даниэль Навас
;618;Город искусств и наук;1989 год;Валенсия, Испания;Сантьяго Калатрава Вальс
